film_id,year,length,budget,votes,genre,rating
1,1971,121,11.6,348,Comedy,5.2
2,1939,71,13.4,20,Comedy,7.9
3,1941,7,13.7,5,Animation,8.1
4,1996,70,14.8,6,Comedy,7.8
5,1975,71,13.5,17,Action,4.6
6,2000,91,10.9,45,Drama,3.3
7,2002,93,17.3,200,Action,4
8,2002,25,8.9,24,Documentary,7.7
9,1987,97,13,18,Drama,3.5
10,1917,61,7.3,51,Action,4.6
11,1988,99,14.3,23,Drama,5.9
12,1994,,9.5,53,Action,4.3
13,1906,10,15,44,Comedy,7.2
14,1965,10,18.5,11,Short,8.5
15,1983,106,6.5,1259,Action,3.9
16,1987,101,13.5,614,Action,8.1
17,1980,107,12.7,2718,Drama,5.3
18,1968,10,14.7,37,Documentary,8
19,1988,110,2.5,7252,Action,4
20,1981,7,8.9,15,Animation,8.4
21,1995,90,11.9,10,Comedy,8.1
22,1935,85,9,281,Drama,4
23,1974,88,17.6,100,Action,3.1
24,1988,95,15.2,54,Action,3.3
25,1921,18,11.8,145,Comedy,8.2
26,1979,80,9.7,45,Action,4.1
27,1935,6,10.2,18,Animation,7.5
28,1989,86,10.4,10,Action,5.1
29,1945,92,10.9,825,Drama,3.2
30,1995,7,9.6,10,Comedy,7.8
31,1985,105,10.5,322,Drama,3
32,1987,140,10.2,13,Drama,3.6
33,1996,99,8.1,6,Comedy,2.8
34,1997,19,6.2,21,Short,7.6
35,1966,74,10.5,7996,Action,4.5
36,1991,117,12.6,251,Drama,3.6
37,1942,61,12.1,114,Comedy,3.8
38,1946,41,15.3,7,Short,8
39,1934,,15.9,105,Action,8.2
40,1986,96,7.8,364,Drama,3.7
41,1989,90,11.8,8,Comedy,7.3
42,1941,120,16.9,139,Drama,4.5
43,2001,83,10.1,288,Drama,3.1
44,1986,133,13.2,902,Drama,3.4
45,1975,90,12.1,91,Action,5.6
46,1951,15,10.3,5,Short,7.6
47,1907,15,11.7,23,Animation,4.4
48,1997,113,17.2,799,Comedy,4.2
49,1940,99,10.5,83,Drama,2.9
50,1940,9,14.3,9,Documentary,8.2
51,1989,101,10,7641,Comedy,4
52,2002,,10.3,71,Drama,8.4
53,2002,82,12.8,22,Drama,3.4
54,1996,118,11.1,19,Drama,4.7
55,2001,80,13.5,6,Drama,3
56,2004,87,12.2,1275,Comedy,7.7
57,2002,92,8.4,36,Drama,1.8
58,1987,106,15.2,4148,Comedy,7.6
59,1987,7,13,6,Animation,7.1
60,1959,96,13.6,43,Drama,3.2
61,1932,77,11.7,32,Comedy,7.4
62,1967,95,16.7,67,Action,8.5
63,1981,113,10.1,348,Action,3.5
64,1990,84,9.8,38,Drama,3.6
65,1979,119,8.6,2610,Drama,4.2
66,1973,93,11.3,23,Action,4.4
67,1935,104,10.3,11,Comedy,5
68,1977,109,10.2,11,Comedy,2.1
69,1998,106,9.9,103,Comedy,4
70,1997,8,13.9,14,Short,7.6
71,1978,10,10.8,7,Animation,7.8
72,2000,5,11.3,13,Short,7.9
73,1980,96,14.6,8,Drama,4
74,1990,,8.3,11,Action,5.1
75,1999,92,13.1,25,Drama,4.1
76,2004,22,13,11,Comedy,7.5
77,1975,,12,7,Action,2.8
78,1984,,11.5,19,Comedy,7.6
79,2005,95,13.1,9,Drama,5.1
80,1996,88,10.6,5,Action,5.5
81,1974,15,14.8,6,Short,8
82,1971,96,10.6,5,Drama,5.1
83,1968,100,11.5,19,Action,5.1
84,1976,98,11.3,20,Action,4.2
85,1968,105,14.9,21,Drama,3.9
86,1970,100,9.9,145,Action,4.4
87,1958,94,11.2,5,Action,4.5
88,2000,95,5.6,50,Comedy,3.6
89,1957,,11.3,5,Action,4.7
90,2001,14,12.2,35,Short,7.6
91,2002,96,13.3,271,Action,4.2
92,1994,90,12.4,339,Comedy,7.9
93,1964,83,16.3,6,Action,8.1
94,1965,,13.1,9,Comedy,8.4
95,1994,87,16.9,238,Drama,4.5
96,2004,117,14.9,165,Drama,4.1
97,1966,101,14.3,13,Comedy,8.8
98,1954,95,17.2,65,Drama,2.6
99,1955,96,10.7,48,Drama,4.1
100,1955,110,15.6,47,Drama,2.6
101,2002,155,16,75,Documentary,7.9
102,1979,85,13.2,5,Comedy,8.5
103,1935,70,15.1,5,Comedy,8.1
104,2003,72,12.8,28,Comedy,8
105,1960,125,15.9,34,Drama,3.9
106,1952,105,12.3,27,Action,4
107,1986,48,14.8,29,Documentary,8.1
108,1979,122,10.2,3170,Comedy,4.6
109,1977,84,15.9,9,Action,5
110,1971,111,7.3,486,Drama,2.7
111,1998,10,11.7,21,Short,8
112,1999,97,10.9,19095,Comedy,4.7
113,1982,95,12.2,31,Action,2.4
114,1973,92,12.1,61,Comedy,8.3
115,2004,240,12.5,7,Drama,8.3
116,2004,88,17.4,40,Documentary,8.2
117,2003,6,8.9,8,Short,8.3
118,1983,101,16.7,530,Action,8.1
119,1967,100,13.4,16,Action,4.6
120,1997,28,11.5,5,Short,8
121,1991,161,9.3,59,Romance,3.8
122,2001,100,9.8,14,Drama,5.9
123,2000,90,9.7,3349,Comedy,5.6
124,2002,98,12,181,Comedy,8.6
125,2001,88,14.8,94,Comedy,7.9
126,1997,94,17.3,19,Drama,5.3
127,1969,110,8.9,267,Action,4.1
128,1994,9,16.8,91,Documentary,7.6
129,2004,100,11,21,Drama,5.8
130,1995,101,20.3,7,Drama,7.6
131,1971,92,12.1,10,Drama,4
132,1994,95,8.3,17,Drama,5.4
133,1963,79,11.6,6,Comedy,7.6
134,1997,18,13.6,5,Short,8
135,1959,75,12.7,59,Animation,3.4
136,1986,79,14.6,15,Action,4.2
137,1998,23,17.6,11,Short,8.1
138,1990,98,11.8,122,Drama,3.9
139,1989,117,11.4,299,Documentary,7
140,1996,103,11.9,5028,Comedy,8.3
141,2000,78,12.7,83,Documentary,8.7
142,2000,100,13.1,68,Comedy,7.7
143,2001,103,12.1,7,Drama,4.4
144,1993,112,10.7,20,Comedy,4.6
145,2000,100,14.9,1987,Comedy,8
146,2000,14,2.4,6,Short,7.8
147,1966,85,14.6,42,Drama,4.3
148,2004,105,13.8,111,Documentary,7.9
149,1974,94,10.6,177,Comedy,7.2
150,2000,11,8.1,5,Short,8
151,2004,85,13.7,199,Comedy,8
152,2002,134,8.7,1264,Drama,4.9
153,2004,95,13.2,222,Action,4.1
154,2003,95,9.3,605,Comedy,5.3
155,1969,94,13.4,51,Comedy,7.4
156,1957,96,11.1,29278,Drama,2.9
157,2001,150,15.4,6,Drama,4.6
158,1998,86,10.9,46,Drama,4.7
159,2003,4,11.1,24,Comedy,7.9
160,1999,18,11.8,24,Comedy,7.7
161,2001,89,9.2,39,Comedy,3.5
162,1956,55,11.2,14,Animation,4.6
163,1971,161,14.6,252,Comedy,7.9
164,1960,74,13.8,89,Action,5.8
